Tipo;País;Bodega;Nombre del Vino / Gama;Precio (MXN);Imagen
Tintos;Francia;Manuel Olivier;Manuel Olivier Bourgogne Rouge;1659;manuel-olivier-bourgogne-rouge.png
Tintos;Francia;Brane-Cantenac;Margaux De Brane;2159;margaux-de-brane.png
Tintos;Francia;Cos d'Estournel;G D´estournel Médoc;2005;g-d-estournel-medoc.png
Tintos;Francia;Chateau Maurac;Chateau Mourac Haut-Médoc Cru Bourgeois;1949;chateau-mourac-haut-medoc-cru-bourgeois.png
Tintos;Francia;Chateau Maurac;Chateau Mourac Les Jumelles Haut-Médoc;1534;chateau-mourac-les-jumelles-haut-medoc.png
Tintos;Francia;Chateau Potensac;Chapelle De Potensac Médoc;1428;chapelle-de-potensac-medoc.png
Tintos;Francia;Chateau Tour D'Eyquem;Château Tour D´Eyquem Côtes de Bourg Bordeaux;1137;chateau-tour-d-eyquem-cotes-de-bourg-bordeaux.png
Tintos;Francia;Chateau Carpena;Château Carpena Côtes de Bourg Bordeaux;1102;chateau-carpena-cotes-de-bourg-bordeaux.png
Tintos;Francia;Chateau Calet;Château Calet Rouge Côtes de Bordeaux;1070;chateau-calet-rouge-cotes-de-bordeaux.png
Tintos;Francia;Chateau Mont-Thabor;Chateau Mont-Thabor Cotes Du Rhone;1048;chateau-mont-thabor-cotes-du-rhone.png
Tintos;Francia;Domaine Joncy;Domaine Joncy Empreinte Beaujolais Villages;970;domaine-joncy-empreinte-beaujolais-villages.png
Tintos;Italia;Umberto Cesari;Umberto Merlese;4414;umberto-merlese.png
Tintos;Italia;Tenuta Montecatone;Tenuta Montecatone Rosso;3634;tenuta-montecatone-rosso.png
Tintos;Italia;Tenuta Montecatone;Montecatone Vintage Collection;2145;montecatone-vintage-collection.png
Tintos;Italia;Tenuta Montecatone;Montecatone Vintage Collection Sangiovese Riserva;1481;montecatone-vintage-collection-sangiovese-riserva.png
Tintos;Italia;Bottega;Bottega Brunello Di Montalcino;2872;bottega-brunello-di-montalcino.png
Tintos;Italia;Bottega;Bottega Amarone Della Valpolicella;2718;bottega-amarone-della-valpolicella.png
Tintos;Italia;Bottega;Bottega Rosso Di Montalcino;1652;bottega-rosso-di-montalcino.png
Tintos;Italia;Bottega;Bottega Ripasso Della Valpolicella Superiore;1459;bottega-ripasso-della-valpolicella-superiore.png
Tintos;Italia;Bottega;Bottega Acino d'Oro Chianti DOCG;1276;bottega-acino-d-oro-chianti-docg.png
Tintos;Italia;Bottega;Bottega Valpolicella Classico;1052;bottega-valpolicella-clasico.png
Tintos;Italia;Bottega;Bottega Cabernet Sauvignon;668;bottega-cabernet-sauvignon.png
Tintos;Italia;Sansilvestro;Sansilvestro Barolo DOCG “Patres”;2402;sansilvestro-barolo-docg-patres.png
Tintos;Italia;Sansilvestro;"Sansilvestro Nebbiolo D´Alba ""Brumo""";1143;sansilvestro-nebbiolo-d-alba-brumo.png
Tintos;Italia;Sansilvestro;Sansilvestro Piemonte DOC Barbera Passito;1030;sansilvestro-piemonte-doc-barbera-passito-appassimento.png
Tintos;Italia;Alessandro Berselli;Alessandro Berselli Signature Collection Primitivo;1984;alessandro-berselli-signature-collection-primitivo.png
Tintos;Italia;Tasca d'Almerita;Tasca D´Almerita Tenuta Regaleali Lamuri;1451;tasca-d-almerita-tenuta-regaleali-lamuri.png
Tintos;Italia;Tasca d'Almerita;Tasca D´Almerita Sallier de la Tour Syrah;1081;tasca-d-almerita-sallier-de-la-tour-syrah.png
Tintos;México;Monte Xanic;Monte Xanic Gran Ricardo;4158;monte-xanic-gran-ricardo.png
Tintos;México;Monte Xanic;Monte Xanic Cabernet Sauvignon;1810;monte-xanic-cabernet-sauvignon.png
Tintos;México;Monte Xanic;Monte Xanic Cabernet Merlot;1810;monte-xanic-cabernet-merlot.png
Tintos;México;Santo Tomás;Santo Tomás Duetto;3820;santo-tomas-duetto.png
Tintos;México;Santo Tomás;Santo Tomás Único;3820;santo-tomas-unico.png
Tintos;México;Altotinto;Altotinto Elite I Nebbiolo;2798;altotinto-elite-i-nebbiolo.png
Tintos;México;Altotinto;Altotinto Elite II Tannat;2798;altotinto-elite-ii-tannat.png
Tintos;México;Altotinto;Altotinto Nebbiolo;1263;altotinto-nebbiolo.png
Tintos;México;Altotinto;Altotinto Selección;995;altotinto-seleccion.png
Tintos;México;El Cielo;El Cielo Perseus Nebbiolo Sangiovese;2398;el-cielo-perseus.png
Tintos;México;El Cielo;El Cielo Orion Tempranillo Grenache Merlot;2398;el-cielo-orion.png
